Year,,Cəmi (min manat),Dəmir yolu (min manat),Dəniz (min manat),Hava (min manat),Boru kəməri (min manat),neft kəməri (min manat),qaz kəməri (min manat),Avtomobil (min manat),Metro (min manat),Tramvay (min manat),Trolleybus (min manat)
2024,,11522520.0,435702.0,240117.0,4756352.0,3765682.0,1058073.0,2707609.0,1114229.0,100438.0,0.0,0.0
2023,,9964500.0,439591.0,252921.0,3625842.0,3617825.0,1101742.0,2516083.0,1944838.0,83483.0,0.0,0.0
2022,,10873130.0,398967.0,248813.0,4904810.0,3567157.0,1238914.0,2328243.0,1692633.0,60750.0,0.0,0.0
2021,,8688982.0,284751.0,178597.0,3875401.0,3049506.0,1197650.0,1851856.0,1274573.0,26154.0,0.0,0.0
2020,,7006367.0,274827.0,168987.0,3035229.0,2323741.0,1127013.0,1196728.0,1181960.0,21623.0,0.0,0.0
2019,,7081741.0,299772.0,180484.0,2396355.0,2292011.0,1313258.0,978753.0,1844202.0,68917.0,0.0,0.0
2018,,6231943.0,270841.0,170567.0,2066918.0,2272532.0,1539697.0,732835.0,1396899.0,54186.0,0.0,0.0
2017,,5628015.0,279202.0,179725.0,1647341.0,2203546.0,1599097.0,604449.0,1273879.0,44322.0,0.0,0.0
2016,,4780684.0,262435.0,160096.0,1053949.0,2047004.0,1515830.0,531174.0,1214938.0,42262.0,0.0,0.0
2015,,4005562.0,232077.0,93990.0,828058.0,1679770.0,1325903.0,353867.0,1128662.0,43005.0,0.0,0.0
2014,,3678120.0,236303.0,102339.0,837820.0,1439109.0,1195644.0,243465.0,1020030.0,42519.0,0.0,0.0
2013,,3508772.0,223315.0,97901.0,779843.0,1448865.0,1249234.0,199631.0,916044.0,42804.0,0.0,0.0
2012,,3341800.0,201855.0,114580.0,617870.0,1535006.0,1359306.0,175700.0,831682.0,40807.0,0.0,0.0
2011,,3283599.0,196683.0,109710.0,557911.0,1605901.0,1444549.0,161352.0,784626.0,28768.0,0.0,0.0
2010,,3065804.0,158382.0,107221.0,388870.0,1712629.0,1563281.0,149348.0,669927.0,28775.0,0.0,0.0
2009,,2889608.0,149654.0,122475.0,331503.0,1705495.0,1533325.0,172170.0,569092.0,11389.0,0.0,0.0
2008,,2524876.0,205828.0,116056.0,372003.0,1393854.0,1202151.0,191703.0,426785.0,10350.0,0.0,0.0
2007,,2103201.0,178173.0,100283.0,326382.0,1157912.0,1021051.0,136861.0,331921.0,8530.0,0.0,0.0
2006,,844993.0,169111.0,110778.0,223025.0,82715.0,78869.0,3846.0,251645.0,7714.0,0.0,5.0
2005,,670441.0,148521.0,96393.0,179527.0,18996.0,15946.0,3050.0,220008.0,6958.0,0.0,38.0
2004,,599451.0,118623.0,100447.0,161073.0,21022.0,17806.0,3216.0,191782.0,6450.0,0.0,54.0
2003,,539573.0,119336.0,89774.0,132769.0,20252.0,17550.0,2702.0,171357.0,5960.0,20.0,106.0
2002,,440027.0,94062.0,83828.0,74113.0,20102.0,17036.0,3066.0,162295.0,5436.0,54.0,137.0
2001,,405943.0,83348.0,71536.0,65744.0,24950.0,16725.0,8225.0,155623.0,4552.0,57.0,133.0
2000,,375131.0,85154.0,59051.0,63655.0,21946.0,11930.0,10016.0,140661.0,4446.0,92.0,126.0
1999,,357356.0,69745.0,51560.0,64292.0,39724.0,10466.0,29258.0,127285.0,4475.0,129.0,146.0
1998,,368946.0,76260.0,54519.0,81918.0,47196.0,9916.0,37280.0,103816.0,4666.0,235.0,337.0
1997,,292980.0,59657.0,51639.0,56054.0,45144.0,10423.0,34721.0,75455.0,4437.0,205.0,389.0
1996,,249549.0,52655.0,45692.0,66553.0,49011.0,6424.0,42586.0,32112.0,3058.0,138.0,330.0
1995,,236148.0,56603.0,50165.0,56477.0,38076.0,4635.0,33441.0,32244.0,2120.0,109.0,355.0
